"FIPS","County","State","Exercise_Facility","Air_Quality","Age65_plus","Household_income","Rural_pct","UnProtected_Area","Population","WorkAge_pct","Transit_freq","Road_density","Workage_pct","Primary_care_per1000","Associations_per1000","Water_Area_per100Acre","Employment_per1000","Reatil_jobs_per1000","Office_jobs_per1000","Industrial_jobs_per1000","Education_jobs_per1000","Service_jobs_per1000","HealthCare_jobs_per1000","Wage_more_than3333_per1000","Households_per100Acre","Wage_less_than3333_per1000","Good_Health","No_Housing_problem","Availability_healthy_food","Employment_pct","Saftey","Healthcare_Affordable"
"01001","Autauga County","AL",62,33,37,56,35,50,50,50,NA,46,41,24,28,50,32,47,38,26,36,37,27,33,50,34,43,51,47,51,66,45
"01003","Baldwin County","AL",64,29,52,53,36,50,51,51,NA,45,51,14,7,51,50,54,51,37,41,51,45,49,50,51,50,49,56,50,91,49
"01005","Barbour County","AL",37,38,47,28,60,50,50,50,NA,34,53,45,33,50,52,50,31,58,34,36,33,47,30,53,31,47,46,36,60,46
"01007","Bibb County","AL",27,33,41,38,61,45,44,35,NA,45,51,50,48,31,26,29,24,34,33,17,29,31,37,27,38,54,83,47,50,42
"01009","Blount County","AL",21,37,49,50,88,50,50,50,NA,50,46,15,17,33,25,42,22,28,33,28,19,23,50,28,41,57,91,50,72,46
"01011","Bullock County","AL",19,35,41,10,43,50,21,15,NA,25,52,50,50,11,47,31,33,56,33,13,40,36,16,51,24,49,39,41,50,50
"01013","Butler County","AL",37,34,51,23,64,50,40,44,NA,37,48,50,50,8,50,52,51,51,42,50,50,42,28,51,28,46,77,43,50,42
"01015","Calhoun County","AL",48,33,45,41,28,46,50,51,NA,50,51,18,13,40,52,53,50,51,46,52,52,51,50,52,38,49,47,45,68,40
"01017","Chambers County","AL",50,32,51,26,41,50,50,50,NA,50,52,37,50,45,34,46,41,32,29,50,36,31,50,37,31,47,48,48,50,53
"01019","Cherokee County","AL",27,33,55,35,82,46,50,46,NA,50,54,29,41,50,29,43,24,40,32,21,27,23,50,33,42,54,99,51,50,46
"01021","Chilton County","AL",26,33,42,42,84,50,50,50,NA,50,45,14,39,50,30,47,29,40,30,21,23,28,50,32,41,48,86,49,50,43
"01023","Choctaw County","AL",16,34,55,28,100,50,27,36,NA,29,51,50,50,10,41,38,25,54,39,29,23,52,17,33,32,53,46,41,50,34
"01025","Clarke County","AL",31,31,51,32,70,50,50,50,NA,26,46,50,50,18,51,54,50,52,49,34,50,51,22,51,31,49,46,32,50,48
